عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی,دسته_بازبینی
دادگاه با,1550,1121,action,ورود به دادگاه (0.78),واژه‌ی جدید,action
از ابلاغ,1318,1110,concept,اطلاق (0.67),واژه‌ی جدید,concept
داده,2493,1109,role,ديان (0.65),واژه‌ی جدید,REMOVE
مبنی بر,1834,1104,principle,طبق قانون (0.75),واژه‌ی جدید,REMOVE
رأی صادره,1675,1102,concept,نظر دادگاه (0.76),واژه‌ی جدید,concept
بدوی,2222,1100,object,دیه (0.56),واژه‌ی جدید,object
دعوی خواهان,1735,1090,role,اصحاب دعوی (0.87),واژه‌ی جدید,role
عنایت,1600,1069,concept,وصایت (0.72),واژه‌ی جدید,REMOVE
اعلام می,1608,1065,object,اعلامیه حراج (0.72),واژه‌ی جدید,object
ارائه,1873,1054,action,پیشنهاد (0.78),واژه‌ی جدید,action
فوق,2022,1053,concept,تجاوز (0.65),واژه‌ی جدید,REMOVE
روز پس,1208,1048,action,طی نامه (0.57),واژه‌ی جدید,action
دلیل,1713,1043,concept,علت (0.91),alias پیشنهادی برای «علت»,concept
مراتب,1500,1041,action,طبقه‌بندی (0.60),واژه‌ی جدید,REMOVE
با عنایت,1522,1037,principle,طبق قانون (0.71),واژه‌ی جدید,principle
عنایت به,1516,1037,concept,وصایت (0.70),واژه‌ی جدید,concept
مقررات,1776,1036,action,وضع مقررات (0.82),واژه‌ی جدید,action
نشده,1802,1027,concept,غیرمستند (0.67),واژه‌ی جدید,REMOVE
محاکم,1369,1019,action,محاکمه (0.83),واژه‌ی جدید,action
ریال,3389,1017,object,واحد پول (0.67),واژه‌ی جدید,object
اوراق,1407,1011,object,اوراق قرضه (0.82),واژه‌ی جدید,object
های,2722,1008,concept,هبه (0.69),واژه‌ی جدید,REMOVE
مطالبه,2586,991,object,طلب (0.78),واژه‌ی جدید,object
می گردد,1871,989,action,رجوع (0.67),واژه‌ی جدید,REMOVE
از تاریخ,1806,988,concept,خارج از موضوع (0.65),واژه‌ی جدید,concept
مطابق,1687,983,principle,طبق قانون (0.82),واژه‌ی جدید,principle
مبلغ,3336,981,action,پرداخت (0.72),واژه‌ی جدید,action
مدنی,1585,974,principle,حقوق مدنی (0.79),واژه‌ی جدید,principle
حقوقی تهران,1703,965,object,خدمات حقوقی (0.70),واژه‌ی جدید,object
صادره حضوری,1012,964,action,صادر کردن گواهی (0.72),واژه‌ی جدید,action
به شرح,1828,960,principle,طبق قانون (0.66),واژه‌ی جدید,principle
خواهان را,1203,948,object,طلب (0.76),واژه‌ی جدید,object
به پرداخت,2029,940,action,پرداخت (0.89),alias پیشنهادی برای «پرداخت»,action
تهران که,1006,939,principle,لحاظ (0.54),واژه‌ی جدید,principle
فرزند,3277,928,role,کودک (0.78),واژه‌ی جدید,role
تقاضای,2022,927,object,طلب (0.83),واژه‌ی جدید,object
درخواست,1823,920,object,طلب (0.88),alias پیشنهادی برای «طلب»,object
تجدیدنظرخواسته,1384,916,concept,تجدیدنظر (0.86),واژه‌ی جدید,concept
اظهارات,1665,914,object,اظهارنامه (0.77),واژه‌ی جدید,object
در تاریخ,2839,914,role,مضمون (0.65),واژه‌ی جدید,role
عنوان,2024,911,role,مضمون (0.74),واژه‌ی جدید,role
در پرونده,1425,910,object,پرونده (0.82),واژه‌ی جدید,object
اجرای,2056,904,concept,زمان اجرا (0.77),واژه‌ی جدید,concept
اساس,1412,900,object,اساسنامه (0.73),واژه‌ی جدید,object
نمی باشد,1441,898,action,نفی (0.65),واژه‌ی جدید,REMOVE
انجام,2297,892,concept,ایجاد تعهد (0.72),واژه‌ی جدید,concept
تقدیمی,1347,891,action,عرضه (0.67),واژه‌ی جدید,action
نبوده,1473,877,concept,نبود صلاحیت (0.66),واژه‌ی جدید,concept
وجود,1576,875,concept,ظهور (0.67),واژه‌ی جدید,concept
رسمی,3020,874,concept,رسمیت (0.72),واژه‌ی جدید,concept
به مواد,1076,871,principle,طبق قانون (0.62),واژه‌ی جدید,principle
ادعای,1587,870,concept,ادعا (0.89),alias پیشنهادی برای «ادعا»,concept
سوی,1662,868,concept,سب (0.58),واژه‌ی جدید,REMOVE
تقدیم,1868,864,concept,تبرع (0.73),واژه‌ی جدید,concept
حکم بر,1412,864,object,حکم (0.87),alias پیشنهادی برای «حکم»,object
خواهی,1844,863,object,طلب (0.71),واژه‌ی جدید,object
ایراد,1373,860,action,ایقاع (0.63),واژه‌ی جدید,action
حسب,1519,859,principle,طبق قانون (0.79),واژه‌ی جدید,principle
بند,1935,857,action,توقیف (0.68),واژه‌ی جدید,action
دو,1950,855,role,ديان (0.61),واژه‌ی جدید,REMOVE
امور,1538,854,concept,احوال (0.67),واژه‌ی جدید,concept
اول,2244,853,role,مباشر (0.65),واژه‌ی جدید,REMOVE
موجب آن,899,850,concept,سبب (0.78),واژه‌ی جدید,concept
اقدام,1675,848,action,تصرف (0.74),واژه‌ی جدید,action
از سوی,1547,846,principle,طبق قانون (0.69),واژه‌ی جدید,principle
اند,2368,843,object,سند (0.59),واژه‌ی جدید,REMOVE
کشور,2104,839,role,دولت (0.70),واژه‌ی جدید,role
ظرف بیست,1008,832,principle,طبق قانون (0.62),واژه‌ی جدید,principle
علی,1203,824,role,ولی (0.61),واژه‌ی جدید,REMOVE
غیر,1417,817,concept,غیرمستقل (0.85),واژه‌ی جدید,REMOVE
وکالت آقای,1325,816,concept,وکالت (0.75),واژه‌ی جدید,concept
چنین,1380,815,object,عین (0.64),واژه‌ی جدید,object
ننموده,1098,814,concept,نحله (0.64),واژه‌ی جدید,concept
واقع,1465,811,object,قضیه (0.73),واژه‌ی جدید,object
بودن,1540,808,concept,صالح بودن (0.72),واژه‌ی جدید,concept
سال,2305,807,concept,شرکت (0.66),واژه‌ی جدید,concept
خسارات,1460,806,concept,خسارت (0.87),alias پیشنهادی برای «خسارت»,concept
دادنامه تجدیدنظرخواسته,1189,805,action,تجدید دادرسی (0.75),واژه‌ی جدید,action
توسط,1478,804,principle,طبق قانون (0.71),واژه‌ی جدید,principle
نداشته,1329,797,concept,نبود صلاحیت (0.65),واژه‌ی جدید,concept
نقض دادنامه,961,796,action,نقض (0.79),واژه‌ی جدید,action
به مراتب,968,795,principle,لحاظ (0.66),واژه‌ی جدید,principle
در محاکم,900,792,action,محاکمه (0.78),واژه‌ی جدید,action
موجه,1004,792,role,موجر (0.68),واژه‌ی جدید,role
امر,1468,786,concept,اماره (0.65),واژه‌ی جدید,REMOVE
اظهار,2048,785,object,اظهارنامه (0.83),واژه‌ی جدید,object
خانواده,1784,784,concept,رابطه خانوادگی (0.79),واژه‌ی جدید,concept
طی,1846,776,action,طی نامه (0.81),واژه‌ی جدید,REMOVE
تعیین,1788,773,concept,حق تعیین (0.83),واژه‌ی جدید,concept
صادر شده,1125,765,role,صادرکننده (0.74),واژه‌ی جدید,role
مدت,1500,763,concept,بذل مدت (0.75),واژه‌ی جدید,REMOVE
ملاحظه,1051,762,principle,ملاحظه قانونی (0.83),واژه‌ی جدید,principle
انقلاب,1239,762,object,حق‌التحریر (0.63),واژه‌ی جدید,object
عمل,1230,761,concept,عهد عمل (0.76),واژه‌ی جدید,REMOVE
دیوان,2012,760,role,دیوان عدالت اداری (0.71),واژه‌ی جدید,role
زوجه,6800,757,concept,نفقه (0.70),واژه‌ی جدید,concept
قسمت,1364,756,object,قضیه (0.72),واژه‌ی جدید,object
اصل,1459,754,concept,اصیل (0.75),واژه‌ی جدید,concept
نامه,2589,750,action,طی نامه (0.79),واژه‌ی جدید,action
به شماره,1307,750,object,شماره پرونده (0.76),واژه‌ی جدید,object
خواهان صادر,848,748,action,صادر کردن حکم (0.72),واژه‌ی جدید,action
بین,1345,744,concept,بینونت (0.63),واژه‌ی جدید,REMOVE
ضمن رد,823,744,action,رد (0.81),واژه‌ی جدید,action
در حق,1102,742,concept,حق (0.78),واژه‌ی جدید,concept
طبق,1387,742,principle,طبق قانون (0.85),واژه‌ی جدید,principle
این رأی,905,737,object,رأی (0.82),واژه‌ی جدید,object
می شود,1290,735,concept,مظنه (0.65),واژه‌ی جدید,REMOVE
بابت,1740,732,principle,لحاظ (0.72),واژه‌ی جدید,principle
زمان,1517,727,concept,زمان اجرا (0.70),واژه‌ی جدید,concept
خوانده به,1111,726,action,فراخواندن (0.62),واژه‌ی جدید,action
احراز,1098,721,action,احراز هویت (0.81),واژه‌ی جدید,action
نظریه,1682,719,concept,نظریه مشورتی (0.76),واژه‌ی جدید,concept
عالی,1667,716,role,صاحب‌حق (0.63),واژه‌ی جدید,role
بنا,1003,716,object,نام (0.61),واژه‌ی جدید,REMOVE
در دادگاه,886,715,action,ورود به دادگاه (0.82),واژه‌ی جدید,action
زوج,5148,714,concept,ازدواج (0.70),واژه‌ی جدید,concept
رعایت,1034,710,principle,رعایت حقوق (0.86),واژه‌ی جدید,principle
به محتویات,844,702,role,مضمون (0.69),واژه‌ی جدید,role
ای,1463,698,role,مضمون (0.65),واژه‌ی جدید,REMOVE
مطروحه,1062,695,concept,مضاربه (0.61),واژه‌ی جدید,concept
طرفیت آقای,865,692,role,صاحب‌نظر (0.64),واژه‌ی جدید,role
تجدید,1692,691,action,تجدید نظر (0.82),واژه‌ی جدید,action
حاضر,1302,689,role,مخاطب (0.67),واژه‌ی جدید,role
تهران می,755,687,role,شهرداری (0.56),واژه‌ی جدید,role
رای صادره,1010,686,concept,نظر دادگاه (0.78),واژه‌ی جدید,concept
از دادنامه,872,683,action,طی روند دادرسی (0.72),واژه‌ی جدید,action
ناحیه,1191,682,object,محل (0.66),واژه‌ی جدید,object
حضور,1391,682,action,عدم حضور (0.79),واژه‌ی جدید,action
بر اساس,963,680,principle,طبق قانون (0.79),واژه‌ی جدید,principle
گرفته,1116,679,action,گرفتن (0.83),واژه‌ی جدید,action
در مورد,1324,678,concept,خارج از موضوع (0.73),واژه‌ی جدید,REMOVE
ایشان,1748,676,role,موصی له (0.61),واژه‌ی جدید,REMOVE
میلیون,1881,676,object,واحد پول (0.63),واژه‌ی جدید,object
عالی کشور,1506,671,principle,قضائی (0.57),واژه‌ی جدید,principle
کند,1386,670,role,هیات (0.57),واژه‌ی جدید,REMOVE
دلیلی,875,670,object,دلایل توجیهی (0.74),واژه‌ی جدید,object
در امور,927,666,principle,طبق قانون (0.67),واژه‌ی جدید,principle
دیوان عالی,1548,666,role,دیوان عدالت اداری (0.89),alias پیشنهادی برای «دیوان عدالت اداری»,role
مورخه,1405,666,action,تقویم (0.69),واژه‌ی جدید,action
معترض,971,665,action,اعتراض (0.89),alias پیشنهادی برای «اعتراض»,action
بی,989,665,role,بی‌طرف (0.64),واژه‌ی جدید,REMOVE
استناد به,888,664,action,ارجاع (0.73),واژه‌ی جدید,action
همان,1072,663,concept,هم‌راهی (0.65),واژه‌ی جدید,REMOVE
به لحاظ,1108,663,principle,لحاظ (0.84),واژه‌ی جدید,principle
در جلسه,1008,662,object,جلسه (0.90),alias پیشنهادی برای «جلسه»,object
تشکیل,1271,661,action,تأسیس (0.73),واژه‌ی جدید,action
خصوص دعوی,753,661,concept,دعوی (0.80),واژه‌ی جدید,concept
موازین,792,658,principle,موازنه (0.62),واژه‌ی جدید,principle
هیچ,1092,656,action,نفی (0.59),واژه‌ی جدید,REMOVE
مفاد,1010,655,concept,منافع اقتصادی (0.77),واژه‌ی جدید,concept
صادر گردیده,775,655,action,صادر کردن گواهی (0.71),واژه‌ی جدید,action
دوم,1609,653,action,داوری (0.56),واژه‌ی جدید,REMOVE
خواهد,984,650,concept,تمایل (0.62),واژه‌ی جدید,concept
بدون,1092,646,concept,غیرمستقل (0.72),واژه‌ی جدید,concept
دادخواست تقدیمی,772,644,object,دادخواست (0.86),واژه‌ی جدید,object
طرح,1189,641,action,پیشنهاد (0.65),واژه‌ی جدید,action
بطرفیت,942,641,role,بی‌طرف (0.76),واژه‌ی جدید,role
را وارد,730,636,action,ورود اطلاعات (0.78),واژه‌ی جدید,action
گزارش,1099,632,action,گزارش‌گیری (0.84),واژه‌ی جدید,action
از ناحیه,1058,631,principle,طبق قانون (0.66),واژه‌ی جدید,principle
قابل تجدیدنظرخواهی,682,628,concept,قابل تجدیدنظر (0.97),alias پیشنهادی برای «قابل تجدیدنظر»,concept
مشترک,2179,626,concept,فصل مشترک (0.76),واژه‌ی جدید,concept
ارسال,1091,622,action,نقل (0.71),واژه‌ی جدید,action
توضیح,864,620,object,دلایل توجیهی (0.77),واژه‌ی جدید,object
رد دعوی,946,620,concept,دعوی نفی مالکیت (0.77),واژه‌ی جدید,concept
ثابت,803,620,object,ثابت‌نامه (0.82),واژه‌ی جدید,object
تجدیدنظرخواهی آقای,652,619,concept,تجدیدنظر (0.80),واژه‌ی جدید,concept
درخصوص,1071,616,principle,طبق قانون (0.74),واژه‌ی جدید,principle
مقرر,1154,614,action,برآورد (0.69),واژه‌ی جدید,action
به عنوان,1248,614,principle,طبق قانون (0.72),واژه‌ی جدید,principle
مصوب,940,612,object,تصویب‌نامه (0.75),واژه‌ی جدید,object
دفتر,1164,610,object,دفترخانه (0.85),واژه‌ی جدید,object
وکیل خواهان,1175,608,role,وکیل (0.82),واژه‌ی جدید,role
موکل,2295,607,role,مودع (0.69),واژه‌ی جدید,role
استماع,1113,603,action,ضبط (0.72),واژه‌ی جدید,action
زندگی,2190,602,concept,حق زندگی (0.70),واژه‌ی جدید,concept
خسارات دادرسی,875,598,object,هزینه‌های دادرسی (0.79),واژه‌ی جدید,object
اوراق پرونده,706,598,object,پرونده (0.80),واژه‌ی جدید,object
عنه,797,598,role,موصی له (0.67),واژه‌ی جدید,REMOVE
مندرج,967,596,object,منقول (0.77),واژه‌ی جدید,object
برابر,1083,595,concept,همزمانی (0.69),واژه‌ی جدید,concept
رسیدگی به,1062,591,action,رسیدگی (0.95),alias پیشنهادی برای «رسیدگی»,action
موجود,784,590,action,وضع (0.67),واژه‌ی جدید,action
حیث,848,589,concept,حیازت (0.70),واژه‌ی جدید,REMOVE
نشده است,812,587,concept,غیرمستند (0.66),واژه‌ی جدید,REMOVE
محترم تجدیدنظر,650,586,concept,تجدیدنظر (0.86),واژه‌ی جدید,concept
با استناد,750,586,principle,طبق قانون (0.78),واژه‌ی جدید,principle
سه,1266,585,role,ثالث (0.73),واژه‌ی جدید,REMOVE
رابطه,954,580,concept,رابطه حقوقی (0.82),واژه‌ی جدید,concept
نامبرده,1079,580,concept,بی‌نام (0.71),واژه‌ی جدید,concept
فراهم,691,578,action,تأمین (0.73),واژه‌ی جدید,action
اسناد,1461,575,object,اسناد رسمی (0.87),واژه‌ی جدید,object
طرف,1052,574,role,بی‌طرف (0.75),واژه‌ی جدید,role
دهد,842,573,object,دیه (0.65),واژه‌ی جدید,REMOVE
مندرج در,904,573,role,مضمون (0.72),واژه‌ی جدید,role
بنا به,716,571,principle,طبق قانون (0.77),واژه‌ی جدید,principle
بوده است,1018,570,concept,ملزم بودن (0.65),واژه‌ی جدید,REMOVE
ها,1720,570,concept,هبه (0.73),واژه‌ی جدید,REMOVE
این شعبه,783,568,object,شعبه دادگاه (0.68),واژه‌ی جدید,object
امور مدنی,724,565,principle,حقوق مدنی (0.84),واژه‌ی جدید,principle
لذا دادگاه,663,564,concept,نظر دادگاه (0.69),واژه‌ی جدید,concept
بطلان دعوی,846,564,concept,بطلان (0.78),واژه‌ی جدید,concept
موجبات,635,563,concept,سبب (0.71),واژه‌ی جدید,concept
مرحله,721,560,action,گام (0.63),واژه‌ی جدید,action
فاقد,830,559,concept,نبود صلاحیت (0.74),واژه‌ی جدید,concept
ثبتی,1647,555,action,ثبت (0.90),alias پیشنهادی برای «ثبت»,action
در صورت,797,552,principle,فقط در صورت (0.82),واژه‌ی جدید,REMOVE
کلاسه,880,552,concept,کلاس (0.83),واژه‌ی جدید,concept
به دادگاه,794,550,concept,به‌محکومیت (0.77),واژه‌ی جدید,concept
قرائت,820,548,concept,استقراء (0.68),واژه‌ی جدید,concept
دلالت,768,547,concept,کفالت (0.70),واژه‌ی جدید,concept
انقلاب در,756,545,action,تغییر (0.59),واژه‌ی جدید,action
نگردیده,737,542,role,بزه‌دیده (0.65),واژه‌ی جدید,role
از شعبه,749,539,object,شعبه دادگاه (0.73),واژه‌ی جدید,object
تجدیدنظرخوانده,1011,539,concept,تجدیدنظر (0.85),واژه‌ی جدید,concept
بخش,1200,538,object,بخش‌نامه (0.82),واژه‌ی جدید,REMOVE
دانسته,718,537,object,تعرفه (0.69),واژه‌ی جدید,object
اثبات,1109,537,concept,ثبوت (0.89),alias پیشنهادی برای «ثبوت»,concept
تواند,765,537,concept,مظنه (0.61),واژه‌ی جدید,concept
نکرده,731,534,concept,نبود صلاحیت (0.61),واژه‌ی جدید,concept
همین,765,533,role,مضمون (0.60),واژه‌ی جدید,role
فیه,762,527,role,مضمون (0.59),واژه‌ی جدید,REMOVE
خصوص دادخواست,595,527,object,دادخواست (0.86),واژه‌ی جدید,object
به بطلان,831,527,concept,بطلان (0.84),واژه‌ی جدید,concept
تجدیدنظرخواهی در,573,526,concept,تجدیدنظر (0.87),واژه‌ی جدید,concept
اصول,606,520,principle,قوانین (0.64),واژه‌ی جدید,principle
ذیل,783,518,action,زیرنظر (0.60),واژه‌ی جدید,REMOVE
ابرازی,676,515,action,خوداظهاری (0.76),واژه‌ی جدید,action
او,1521,515,role,ولی (0.59),واژه‌ی جدید,REMOVE
روز از,575,515,concept,خارج از موضوع (0.60),واژه‌ی جدید,concept
محرز,625,515,role,مکره (0.64),واژه‌ی جدید,role
مهلت,755,514,concept,صلاحیت (0.68),واژه‌ی جدید,concept
بعد,1144,514,principle,طبق قانون (0.63),واژه‌ی جدید,REMOVE
ملک,1864,513,object,فرع ملک (0.72),واژه‌ی جدید,object
دادگاه به,596,513,concept,به‌محکومیت (0.75),واژه‌ی جدید,concept
قبل,890,513,concept,پیش‌فروش (0.65),واژه‌ی جدید,REMOVE
رأی قطعی,531,512,object,رای نهایی (0.86),واژه‌ی جدید,object
تاریخ ابلاغ,574,511,concept,اطلاق (0.62),واژه‌ی جدید,concept
به عمل,708,510,concept,عهد عمل (0.71),واژه‌ی جدید,concept
موصوف,785,510,role,موصی (0.76),واژه‌ی جدید,role
عضو,775,506,concept,رکن دعوی (0.75),واژه‌ی جدید,concept
سپس,794,505,concept,سبب (0.56),واژه‌ی جدید,REMOVE
را صادر,638,503,action,صادر کردن گواهی (0.63),واژه‌ی جدید,action
یافته,671,500,action,یافتن (0.78),واژه‌ی جدید,action
پرونده به,807,499,object,پرونده (0.84),واژه‌ی جدید,object
آن حکم,520,498,object,حکم (0.80),واژه‌ی جدید,object
حال,783,496,concept,احوال (0.68),واژه‌ی جدید,REMOVE
پاسخ,906,496,action,رد (0.82),واژه‌ی جدید,action
شرایط,775,495,concept,شرط (0.81),واژه‌ی جدید,concept
ضمن نقض,544,493,action,نقض (0.86),واژه‌ی جدید,action
این دادگاه,699,491,concept,نظر دادگاه (0.71),واژه‌ی جدید,concept
خواهان در,635,490,role,اصحاب دعوی (0.78),واژه‌ی جدید,role
بالا,536,487,concept,خارج از موضوع (0.61),واژه‌ی جدید,concept
صادره قطعی,501,487,concept,احکام قطعی (0.76),واژه‌ی جدید,concept
دادگستری,723,486,role,واحد دادگستری (0.81),واژه‌ی جدید,role
پرداخت مبلغ,815,486,action,پرداخت (0.88),alias پیشنهادی برای «پرداخت»,action
مرقوم,810,486,role,ضامن (0.58),واژه‌ی جدید,role
طرفیت خانم,589,484,action,پشتیبانی (0.61),واژه‌ی جدید,action
اخذ,881,482,action,گرفتن (0.85),واژه‌ی جدید,action
از حیث,635,480,principle,طبق قانون (0.72),واژه‌ی جدید,principle
بیان,910,479,concept,ادعا (0.66),واژه‌ی جدید,concept
میزان,896,478,concept,حد (0.73),واژه‌ی جدید,concept
جمله,631,476,role,مضمون (0.71),واژه‌ی جدید,role
قرائت گزارش,493,476,action,گزارش‌گیری (0.76),واژه‌ی جدید,action
زوجیت,929,475,concept,ازدواج (0.75),واژه‌ی جدید,concept
است،,965,475,principle,طبق قانون (0.63),واژه‌ی جدید,principle
اولاً,619,474,concept,مشروط (0.62),واژه‌ی جدید,concept
اصلی,1219,474,role,مضمون (0.69),واژه‌ی جدید,role
به وکالت,694,473,concept,وکالت (0.81),واژه‌ی جدید,concept
وفق,632,473,principle,طبق قانون (0.67),واژه‌ی جدید,principle
نتیجه,701,473,concept,علت (0.69),واژه‌ی جدید,concept
خواسته را,615,472,object,طلب (0.75),واژه‌ی جدید,object
آقای الف,1014,472,concept,شخص (0.66),واژه‌ی جدید,concept
